classe;cote_range;description
N;N2;French
N;N3;German
N;N4;Italian
N;N5;Dutch and Flemish
N;N6;Russian. Slavic
N;N6.5;Scandinavian
N;N7;Spanish and Portuguese
N;N8.A-Z;Other (including Oriental), A-Z
N;N10;General
N;N11;American
N;N12;English
N;N13;French and Belgian
N;N14;German, Austrian, and Swiss
N;N15;Italian
N;N16;Spanish and Portuguese
N;N17.A-Z;Other, A-Z
N;N21;Congresses
N;N25;Several authors
N;N31;Encyclopedias
N;N33;Dictionaries
N;N34;Terminology
N;N40;General
N;N42;Juvenile works
N;N45;Artists' marks and monograms
N;N50;General
N;N51;General
N;N55.A-Z;Other regions or countries, A-Z
N;N57;General works
N;N58;Information services
N;N59;Electronic information resources
N;N61;History
N;N62;English
N;N63;French
N;N64;German
N;N65.A-Z;Other languages, A-Z
N;N66;English
N;N67;French
N;N68;German
N;N68.3;Italian
N;N68.6;Spanish
N;N69.A-Z;Other European languages, A-Z
N;N69.3.A-Z;Oriental languages, A-Z
N;N69.6.A-Z;Other languages, A-Z
N;N70;General special
N;N71;General works
N;N71.5;Mental illness and art
N;N71.8;Visual disorders and art
N;N72.A-Z;Art in relation to other subjects, A-Z
N;N72.5;Artistic masterpieces
N;N72.7;Imitation in art
N;N75;Taste in the visual arts
N;N81;Periodicals and societies
N;N82;Congresses
N;N84;Theory. Philosophy
N;N85;General works
N;N87;General special
N;N88;General works
N;N88.3;General works
N;N88.4.A-Z;By region or state, A-Z
N;N88.5.A-Z;Other regions or countries, A-Z
N;N89;Collective
N;N90;General works
N;N101-285;Special regions or countries (Table N2)
N;N325;General works
N;N328;General works
N;N330.A-Z;Special schools. By city, A-Z
N;N331.A-Z;Other American countries, A-Z
N;N333.A-Z;Other regions or countries, A-Z
N;N340;Examinations, questions, etc.
N;N345;General works
N;N346.5.A-Z;Other regions or countries, A-Z
N;N347;Art scholarships, fellowships, etc.
N;N350;General works
N;N351;Children as artists
N;N352;General works
N;N352.2.A-Z;By region or country, A-Z
N;N353;General works
N;N355.A-Z;By city, A-Z
N;N357.A-Z;Special systems, A-Z
N;N361;Primary
N;N362;Elementary
N;N362.5;Middle school
N;N363;Secondary
N;N365.A-Z;Other regions or countries, A-Z
N;N366;General works
N;N367;General works
N;N368;Select lists
N;N369.A-Z;Dealers' catalogs. By dealer, A-Z
N;N370;General works
N;N373;Select lists of pictures for schools
N;N377;Supplies, materials, etc.
N;N378;General works
N;N379.A-Z;Catalogs of picture lending collections. By collection, A-Z
N;N380;General works
